dog_id	dog_name	sex	alt_status	local_control	surrender_date	surrender_phone	description	age_months	microchip	microchip_manufacturer	email
186	Abby	female	1	0	2025-02-18	1970809228	 is a really well-behaved pup for her age. She is a happy, friendly girl.  Sally was fou	25	6244290027	FurSecure ID	smadarang@zotware.com
187	Henry	male	1	0	2025-02-18	1578817593	 This sweet brindle boy with the crooked smile is Whopper. He's such a good boy - playful,	111			mhagele@finjob.com
188	Bella	female	1	0	2025-02-21	0690686898	 Verde's story has a very sad beginning but I'm sure this girl gets her happy days ahead 	119	5969941780	FurryTag Systems	mhagele@finjob.com
189	Loki	male	1	0	2025-02-25	8314361550	 is an energetic little fellow who loves exploring the outdoors, taking walks and even 	115	5213432559	FurTrack Microchips	mhagele@finjob.com
190	George	male	1	0	2025-02-26	4578023180	 was homeless and roaming the streets which eventually led to his being picked-up	114	1299956040	AKC Reunite	skalafatis@xx-holding.com
191	Sasha	female	0	0	2025-02-27	4753716432	 was rescued from euthanasia at a Texas shelter. he is energetic and playful. He gets alon	96	1427434877	AVID	alabreche@konex.com
192	Riley	female	1	0	2025-03-11	9605716166	 This gorgeous puppy; we believe that he is a Yellow Lab mixed with Siberian Husky and wh	143	0338929243	PetGuardian Chips	skalafatis@xx-holding.com
193	Frankie	male	0	0	2025-03-11	5472316011	 was homeless and roaming the streets which eventually led to his being picked-up	78	6982871754	AKC Reunite	skalafatis@xx-holding.com
194	Jake	male	1	0	2025-03-11			80			bstimmel@hatfan.com
195	Kobe	male	1	1	2025-03-13	1838271895	 Our girl may look like a plain little black dog but she is anything but ordinary!  Th	87	5024975151	PawID Technologies	kscriven@betasoloin.com
196	Jasmine	female	1	0	2025-03-14	5222982601	 is a sweetie pie! He's very laid back and gentle with people. He walks well on 	23	4415106067	PetSafe Chips	ljillson@rangreen.com
197	Ellie	female	1	0	2025-03-17	3227208213	 is a 12-week-old Black Cur mix pup who got adopted and who thought he had found his fo	41			ebayless@streethex.com
198	Dixie	female	1	0	2025-03-19	9270645659	  is a sweet girl who would love to be in a new home for the holidays! She is 3 years old 	117	3469212555	FurTrack Microchips	bstimmel@hatfan.com
199	Gizmo	male	1	0	2025-03-19		 Have you been looking for a Labrador Retriever to join your family? Labs have such great, goofy, c	101	6580338967	PawPrint ID	execdir@burdell.com
200	Cleo	female	1	0	2025-03-21	4812801221	  is a 9-year-old Treeing Walker Hound, a playful boy who likes toys & like	47			shalter@treequote.com
201	Bailey	female	1	0	2025-03-25		 I'm looking to to rehome my male Catahoula Leopard Dog/Mountain Cur.	45			mrowling@finhigh.com
202	Maxwell	unknown	1	1	2025-03-26	5451785505		76	1183326368	PawTech Microchips	mrowling@finhigh.com
203	Tango	unknown	1	0	2025-03-27	7707735459	  is an adorable little girl that is fostered with cats, dogs and kids. If interested please f	33	4233819750	PetLink	cfallick@zoomit.com
204	Rosie	unknown	1	0	2025-03-28	1946252298	 was found in rural Texas all alone outside of a residence one cold January nigh	41	7056675045	Banfield TruPaws	bkarpel@plexzap.com
205	Lucy	female	0	0	2025-03-31	7894058420	 This adorable boy is Tango Barnwell.  He wou	42	7232576436	PetGuardian Chips	fscheyer@cancity.com
